CNPJ_Fundo;Data_Referencia;Versao;Nome_Prestador;CNPJ_Prestador;Endereco;Telefone
15.348.117/0001-38;2018-12-01;1;MOISES FREIRE ADVOCACIA;5249760000150;Rua Bambui, 242, Serra, CEP 30210-490, Belo Horizonte/MG;(31) 3287-1412
15.348.117/0001-38;2018-12-01;1;YPC YORK & PARTNERS CONSULTORIA LTDA;8587588000133;;(11) 3101-1257
15.348.117/0001-38;2018-12-01;1;ITAU CORRETORA DE VALORES S.A.;61194353000164;Av. Brig. Faria Lima, 3500, 3º Andar, Jd Paulistano, São Paulo/SP;(11) 3003-4828
15.461.076/0001-91;2018-12-01;1;BSH BRASIL SERVICE & HOLDING LTDA;59.944.710/0001-12;AV.BRIGADEIRO LIMA E SILVA,1768 1A SP;(11)3813-6188
15.461.076/0001-91;2018-12-01;1;COLLIES INTERNATIONAL DO BRASIL CONSULTORIA;02.636.857/0001-28;RUA DAS OLIMPÍADAS Nº 205 1º ANDAR;(11)3323-0001
17.098.794/0001-70;2018-12-01;1;Rio Bravo Investimentos LTDA.;3864607000108;Av. Chedid Jafet, nº 222, Bloco B, 3º andar - Vila Olímpia - São Paulo/SP - Cep nº 04551-065;(11) 3509 6600
17.161.979/0001-82;2018-12-01;1;Godinho e Gontijo Advogados- ME;3514812000162;Rua Paraíba, 1352, Savassi- Belo Horizonte - MG;31-3281.9699
17.161.979/0001-82;2018-12-01;1;JJ Chaves Contadores Sociedade Simples Ltda;94154119000162;Roa Dona Laura, 414 - Porto Alegre - RS;51-3388.3677
17.161.979/0001-82;2018-12-01;1;Itaú Corretora de Valores S/A;61194353000164;Av Brig Faria Lima 3400 10º and. São Paulo - SP;11-2740.2575
18.874.965/0001-79;2018-12-01;1;GOULART & COLEPICOLO ADVOGADOS;03.688.091/0001-98;Rua da Bahia n 1900 6º andar, Lourdes, Belo Horizonte - MG, 30.160-011.;(31) 3029-4878
20.118.470/0001-61;2018-12-01;2;ITAU CORRETORA DE VALORES S.A;61194353000164;AV BRIG FARIA LIMA 3400 10 ANDAR ITAIM BIBI SAO PAULO SP;11-40043131
20.118.470/0001-61;2018-12-01;2;GOULART & COLEPICOLO ADVOGADOS ASSOCIADOS;3688091000198;AV. PRESIDENTE JUSCELINO KUBITSCHEK 1600 1 ANDAR CJ 11 ITAIM BIBI SÃO PAULO SPS;11-31985917
20.118.470/0001-61;2018-12-01;2;BRL TRUST DTVM S.A.;13486793000142;RUA IGUATEMI 151 19 ANDAR ITAIM BIBI SAO PAULO SP;11-31985917
20.118.470/0001-61;2018-12-01;2;YORK & PARTNERS CONSULTORIA SS LTDA;8587588000133;RUA DOM BERNARDO NOGUEIRA 479 18 ANDAR VILA GUMERCINDO SAO PAULO SP;11-31985917
20.680.775/0001-62;2018-12-01;1;CBRE Consultoria do Brasil LTDA;51.718.575/0001-85;Av das Nações Unidas 14171 - São Paulo, SP;(11) 4064 4041
20.787.427/0001-99;2018-12-01;1;ORION PROJETOS E EMPREENDIMENTOS LTDA;03.643.287/0001-66;Av.Andrade Neves, nº 002538 Sala E - Campinas, SP;(11) 5070 0200
22.081.808/0001-83;2018-12-01;1;ITAU CORRETORA DE VALORES S.A;61194353000164;AV BRIG FARIA LIMA, 3400, 10º ANDAR, ITAIM BIBI, SÃO PAULO/SP;(11) 3003-4828
22.081.808/0001-83;2018-12-01;1;COUTINHO, LACERDA, DINIZ ADVOGADOS ASSOCIADOS;2213835000155;RUA DOS INCONFIDENTES,911, 13º ANDAR, BELO HORIZONTE/MG;(31) 3269-5900
22.081.808/0001-83;2018-12-01;1;COSTA RANGEL SOCIEDADE DE ADVOGADOS;22250010000118;AV. ATAULFO DE PAIVA, 204, SALA 02,CEP 22440-033, RIO DE JANEIRO/RJ;(21) 8151-8314
22.081.808/0001-83;2018-12-01;1;YORK & PARTNERS CONSULTORIA SS LTDA;8587588000133;RUA DOM BERNARDO NOGUEIRA, 479, 18º ANDAR, VILA GUMERCINDO, SÃO PAULO/SP;(11) 3101-1257
24.070.076/0001-51;2018-06-01;1;Papi Maximiano Kawasaki Assolini Advogados Associados;03.834.440/0001-32;Rua Cardeal Arcoverde, 2365, 12º Andar, São Paulo/SP;(11) 3133 2525
26.195.121/0001-20;2018-12-01;1;Souza Cescon Barrieu FB. Soc Advogados;10687865000121;Rua Funchal, 418 - 11º na. S.Paulo - SP;11-3089.6500
26.195.121/0001-20;2018-12-01;1;JJ Chaves Contadores Sociedade Simples Ltda;94154119000162;Roa Dona Laura, 414 - Porto Alegre - RS;51-3388.3677
26.195.121/0001-20;2018-12-01;1;Itaú Corretora de Valores S/A;61194353000164;Av Brig Faria Lima 3400 10º and. São Paulo - SP;11-2740.2575
26.195.121/0001-20;2018-12-01;1;Advocacia Cunha Ferraz;00.087.906/0001-95;Av. Brig Faria Lima, 1461 - 6º andar São Paulo-SP;11-3104.7183
26.614.291/0001-00;2018-06-01;1;ITAÚ CORRETORA DE VALORES S/A;61.194.353/0001-64;Av. Brig. Faria Lima, 3500 - 3° andar;
26.614.291/0001-00;2018-06-01;1;CM Capital Markets DTVM Ltda;02.671.743/0001-19;Rua Gomes de Carvalho, 1195 - 4º andar;(11) 3842-1122
26.614.291/0001-00;2018-12-01;1;ITAÚ CORRETORA DE VALORES S/A;61.194.353/0001-64;Av. Brig. Faria Lima, 3500 - 3° andar;
26.614.291/0001-00;2018-12-01;1;CM Capital Markets DTVM Ltda;02.671.743/0001-19;Rua Gomes de Carvalho, 1195 - 4º andar;(11) 3842-1122
26.990.011/0001-50;2018-07-01;1;JJ Chaves Contadores Sociedade Simples Ltda;94154119000162;Rua Dona Laura, 414 - Porto Alegre - RS;51-3388.3677
26.990.011/0001-50;2018-07-01;1;Itaú Corretora de Valores S/A;61194353000164;Av Brig Faria Lima 3400 10º and. São Paulo - SP;11-2740.2575
26.990.011/0001-50;2018-12-01;1;JJ Chaves Contadores Sociedade Simples Ltda;94154119000162;Roa Dona Laura, 414 - Porto Alegre - RS;51-3388.3677
26.990.011/0001-50;2018-12-01;1;Itaú Corretora de Valores S/A;61194353000164;Av Brig Faria Lima 3400 10º and. São Paulo - SP;11-2740.2575
26.990.011/0001-50;2018-12-01;1;Vitale Bicalho e Dias Soc Advogados;27977626000109;Rua Leopoldo Couto de Magalhães Jr. 758 conj 131;11-3181.8833
26.990.011/0001-50;2018-12-01;1;Iegoroff e Sanches Soc Advogados;26072161000265;Rua Dr Eduardo de Souza Aranha 387 - 15º andar;11-3897.0333
27.293.689/0001-46;2018-12-01;1;DEXTER ENGENHARIA S/S LTDA;67566711000107;Av. Eng. Luiz Carlos Berrini, 828 - 4º andar cj. 42 - Cid. Monções - São Paulo - SP;(11) 55433011
27.538.477/0001-81;2018-12-01;1;Intrader D.T.V.M. Ltda;15489568000195;Rua Ramos Batista, 152, 1º andar, Vila Olímplia, São Paulo, SP;(11) 3198-5151
27.771.568/0001-62;2018-12-01;1;YONE GALVÃO GIANNINI CARBONE - ME;10947912000129;Alameda Maracatins, 552 - Alphaville - Santana do Parnaiba - SP;
27.771.568/0001-62;2018-12-01;1;BENVENUTO ENGENHARIA S/S LTDA;2611421000184;Rua Cristiano Viana, 441 - cj. 53 - Jd. America - São Paulo;
27.771.568/0001-62;2018-12-01;1;ANTON ENGENHARIA E URBANISMO LTDA;24959724000125;Rua das Bandeiras, 356 - cj. 41 - Santo André;
