CNPJ_Fundo;Data_Referencia;Versao;Total_Necessidades_Liquidez;Disponibilidades;Titulos_Publicos;Titulos_Privados;Fundos_Renda_Fixa;Total_Investido;Direitos_Bens_Imoveis;Terrenos;Imoveis_Renda_Acabados;Imoveis_Renda_Construcao;Imoveis_Venda_Acabados;Imoveis_Venda_Construcao;Outros_Direitos_Reais;Acoes;Debentures;Bonus_Subscricao;Certificados_Deposito_Valores_Mobiliarios;Cedulas_Debentures;Fundo_Acoes;FIP;FII;FDIC;Outras_Cotas_FI;Notas_Promissorias;Acoes_Sociedades_Atividades_FII;Cotas_Sociedades_Atividades_FII;CEPAC;CRI;CRI_CRA;Letras_Hipotecarias;LCI;LCI_LCA;LIG;Outros_Valores_Mobliarios;Valores_Receber;Contas_Receber_Aluguel;Contas_Receber_Venda_Imoveis;Outros_Valores_Receber;Rendimentos_Distribuir;Taxa_Administracao_Pagar;Taxa_Performance_Pagar;Obrigacoes_Aquisicao_Imoveis;Adiantamento_Venda_Imoveis;Adiantamento_Alugueis;Obrigacoes_Securitizacao_Recebiveis;Instrumentos_Financeiros_Derivativos;Provisoes_Contigencias;Outros_Valores_Pagar;Total_Passivo
01.201.140/0001-90;2019-06-01;1;10978514.33;6166.95;0;0;10972347.38;894848000;894848000;0;894848000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;8561617.46;8053790.47;0;507826.99;7390833.35;74915.9;0;0;0;177223.78;0;0;0;176066.45;7819039.48
01.201.140/0001-90;2019-07-01;1;11715530.23;5796.79;0;0;11709733.44;894848000;894848000;0;894848000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;10270720.9;10013207.63;0;257513.27;5225474.23;74177.04;0;0;0;125046.15;0;0;0;1422323.15;6847020.57
01.201.140/0001-90;2019-08-01;1;12666953.1;5248.99;0;0;12661704.11;894848000;894848000;0;894848000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;9911060.17;9687135.88;0;223924.29;6007674.35;76480.45;0;0;0;169590.07;0;0;0;1310863.6;7564608.47
01.201.140/0001-90;2019-09-01;1;12442045.23;6324.43;0;0;12435720.8;894848000;894848000;0;894848000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;9757694.18;9366070.72;0;391623.46;6008908.66;77304.11;0;0;0;119492;0;0;0;1261744.29;7467449.06
01.201.140/0001-90;2019-10-01;1;12744313.22;5863.69;0;0;12738449.53;894848000;894848000;0;894848000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;10950161.89;10714710.65;0;235451.24;6010142.97;80757.59;0;0;0;177242.84;0;0;15454.52;1503853.06;7787450.98
01.201.140/0001-90;2019-11-01;1;12702866.23;5063.89;0;0;12697802.34;1021481100;1021481100;0;1021481100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;11323703.73;10818946.2;0;504757.53;6011377.28;87110.51;0;0;0;93349.19;0;0;15454.52;1388202.51;7595494.01
01.201.140/0001-90;2019-12-01;1;12321918.59;11396.85;0;0;12310521.74;1021481100;1021481100;0;1021481100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;15085116.36;14125743.99;0;959372.37;6012611.59;103589.43;0;0;0;142784.88;0;0;15765.15;1414516.32;7689267.37
01.235.622/0001-61;2019-01-01;2;130631049.17;495496.08;0;10145201.8;119990351.29;1668712625.15;1302311841.5;392230269.15;406172711.09;53226751.48;25379020.02;395040371.16;30262718.6;295114247.67;0;0;0;0;0;0;71286535.98;0;0;0;0;0;0;0;;0;0;;0;0;706263083.13;2176297.79;680644627.84;23442157.5;37093102.47;1800573.06;0;136871073.27;499874.91;0;178384126.49;0;621327.92;80142126.88;435412205
01.235.622/0001-61;2019-02-01;2;51483244.69;464247.55;0;10193266.4;40825730.74;1720841154.9;1306466666.67;389320589.9;406214241.92;55851113.39;19659440.29;401555331.72;33865949.45;295951328.39;0;0;0;0;0;0;68295943.43;0;0;0;0;0;0;50127216.41;;0;0;;0;0;690313905.19;2263579.48;661896836.16;26153489.55;1858.39;1725160.06;0;132425337.85;-216790.83;0;180456592.22;0;269738.19;80643085.22;395304981.1
01.235.622/0001-61;2019-03-01;2;53674459.95;285687.19;0;0;53388772.76;1742276690.7;1316977613.84;396160360.39;407174833.76;58777738.93;17940674.56;402801223.23;34122782.97;295880182.57;0;0;0;0;0;0;69053687.2;0;0;0;0;0;0;50126068.39;;0;10239138.7;;0;0;680822768.4;3895240.17;649678661.92;27248866.31;1858.39;1722775.7;0;139348018.51;-202289.16;0;176076356.2;0;1996401.19;79497968.24;398441089.07
01.235.622/0001-61;2019-04-01;2;66144107.8;602085.37;0;0;65542022.43;1804915547.76;1343436181.5;365682088.12;405281515.61;60175560.46;17940674.56;457291258.28;37065084.47;296240587.82;0;0;0;0;0;0;58216167.06;0;0;0;0;0;0;96734963.08;;0;10287648.3;;0;0;668098843.96;3781657.64;636855833.97;27461352.35;1858.39;1731941.95;0;159522034.98;-676510.31;0;177414535;0;8054068.18;78364644.51;424412572.7
01.235.622/0001-61;2019-05-01;2;81076757.68;758655.91;0;0;80318101.77;1811866382.78;1361516956.66;389749244.88;404894060.92;59033125.83;16977074.58;456104077.69;34759372.76;296711896.86;0;0;0;0;0;0;56561357.09;0;0;0;0;0;0;97076172.17;;0;0;;0;0;645984193.61;3547262.57;621655213.3;20781717.74;1858.39;1762286.2;0;155907604.71;-181444.44;0;172613078.64;0;7371525.89;72595375.45;410070284.84
01.235.622/0001-61;2019-06-01;2;101707542.96;2036813.24;0;0;99670729.72;1853097531.37;1399248527.32;341715969.95;405709448.31;62298863.84;15841765.08;533467922.52;40214557.62;297812916.64;0;0;0;0;0;0;58497301.17;0;0;0;0;0;0;97538786.24;;0;0;;0;0;622172219.73;3620932.04;597413074.78;21138212.91;1858.39;1774045.47;0;171199266.37;985751.23;0;176083181.92;0;6933414.88;75945879.72;432923397.98
01.235.622/0001-61;2019-07-01;3;94825946.22;750456.31;0;0;94075489.91;1866834851.94;1451160490.87;354497270.68;427579494.13;41019304.42;52699002.55;539078362.02;36287057.07;259932377.54;0;0;0;0;0;0;58060977.49;0;0;0;0;0;0;97681006.04;;0;0;;0;0;624661238.78;3653067.95;599539634.71;21468536.12;60998690.23;1786709.51;0;180064014.17;-135835.56;0;172902973.39;0;4284106.07;77169992.72;497070650.53
01.235.622/0001-61;2019-08-01;2;43583565.67;884190.67;0;0;42699375;1883590792.13;1473668501.08;377609869.23;426940495.78;41966383.06;52291220.14;537925395.62;36935137.25;255427865.74;0;0;0;0;0;0;57017613.43;0;0;0;0;0;0;97476811.88;;0;0;;0;0;645216671.65;3150867.06;613250675.93;28815128.66;1858.39;1741040.75;0;197557776.96;-355993.36;0;169087543.52;0;2722129.5;76831991.41;447586347.17
01.235.622/0001-61;2019-09-01;2;39826772.94;1172293.54;0;0;38654479.4;1947561479.26;1536416582.61;378001954.46;429394752.29;43324652.07;49143878.81;591868480.83;44682864.15;255427865.74;0;0;0;0;0;0;58056305.16;0;0;0;0;0;0;97660725.75;;0;0;;0;0;654066821.17;2380259.53;625462238.76;26224322.88;1858.39;1770668.5;0;194403555.47;-1016419.26;0;231143551.38;0;2692561.27;80353222.06;509348997.81
