CNPJ_Fundo;Data_Referencia;Versao;Numero_Processo;Valores;Causa_Contingencia
09.326.861/0001-39;2017-12-01;1;1083274-79.2013.8.26.0100;52364.04;Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado.
09.326.861/0001-39;2017-12-01;1;1016736-19.2013.8.26.0100;108511.08;Classe de demanda que, em princípio, tem como consequência a continuidade da locação e a definição do novo valor de aluguel.
09.326.861/0001-39;2017-12-01;1;0105865-86.2012.8.26.0100 (583.00.2012.105865-0);36737.88;Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado.
09.326.861/0001-39;2017-12-01;1;0005531-10.2013.8.26.0100;Preencher;Sem contingência, Fundo no pólo ativo
09.326.861/0001-39;2017-12-01;1;183200900802000;25000;De acordo com informação do escritório responsável, a indicação de risco é baseada na atualização do valor atribuído a sentença/acórdão.
09.326.861/0001-39;2017-12-01;1;*01138008020095020043;95000;De acordo com andamento do escritório, demanda tende a ser arquivada. De todo modo, não há, em princípio, impacto direto para o fundo imobiliário.
09.326.861/0001-39;2017-12-01;1;*01537200702602003;30000;De acordo com andamento do escritório, demanda tende a ser arquivada. De todo modo, não há, em princípio, impacto direto para o fundo imobiliário.
09.326.861/0001-39;2017-12-01;1;0108798-03.2010.8.26.0100;128577.84;Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado.
09.326.861/0001-39;2017-12-01;1;0174150-68.2011.8.26.0100;540490.29;Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado.
09.326.861/0001-39;2017-12-01;1;0106974-38.2012.8.26.0100;34093.65;Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado.
09.326.861/0001-39;2017-12-01;1;0078935-68.2011.8.26.0002;196285.92;Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado.
09.326.861/0001-39;2017-12-01;1;0185183-55.2011.8.26.0100 (583.00.2011.185183-3);130574.4;Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado.
09.326.861/0001-39;2017-12-01;1;0020359-42.2012.8.26.0004;15018.52;Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado.
09.326.861/0001-39;2017-12-01;1;0208663-96.2010.8.26.0100 0208663-96.2010.8.26.0100);24788.41;Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado.
09.326.861/0001-39;2017-12-01;1;0185876-10.2009.8.26.0100 0043636-85.2015.8.26.0100);614469.29;Classe de demanda que, em princípio, tem como consequência a continuidade da locação e a definição do novo valor de aluguel.
12.809.972/0001-00;2017-12-01;1;1035958-02.2015.8.26.0100;0,00;Conexão com o processo nº 1056150-87.2014.8.26.0100
12.809.972/0001-00;2017-12-01;1;1003969-71.2015.8.26.0554;0,00;Conexão com  o processo nº 1011249-30.2014.8.26.0554, 1012871-47.2014.8.26.0554
12.809.972/0001-00;2017-12-01;1;1002321-56.2015.8.26.0554;0,00;Conexão com o processo nº 1017385-43.2014.8.26.0554
12.809.972/0001-00;2017-12-01;1;1005728-06.2016.8.26.0564;0,00;Conexão com o processo nº 1019780-75.2014.8.26.0564
12.809.972/0001-00;2017-12-01;1;1008268-30.2015.8.26.0348;0,00;Conexão com o processo nº 1003143-18.2014.8.26.0348
12.809.972/0001-00;2017-12-01;1;1017288-43.2014.8.26.0554;0,00;Conexão com o processo nº  1007365-90.2014.8.26.0554
12.809.972/0001-00;2017-12-01;1;0000784-33.2015.8.26.0654;0,00;Conexão com o processo nº 0002381-71.2014.8.26.0654
12.809.972/0001-00;2017-12-01;1;1006304-63.2015.8.26.0554;0,00;Conexão com o processo nº 1017385-43.2014.8.26.0554
12.809.972/0001-00;2017-12-01;1;1019354-59.2015.8.26.0554;0,00;Conexão com o processo nº 1006074-21.2015.8.26.0554
12.809.972/0001-00;2017-12-01;1;1001786-32.2016.8.26.0348;0,00;Conexão com o processo nº 1007166-07.2014.8.26.0348
12.809.972/0001-00;2017-12-01;1;1005484-10.2016.8.26.0554;0,00;Conexão com o processo nº 1000285-07.2016.8.26.0554
12.809.972/0001-00;2017-12-01;1;1005476-33.2016.8.26.0554;0,00;Conexão com o processo nº 1000290-29.2016.8.26.0554
12.809.972/0001-00;2017-12-01;1;1003659-80.2015.8.26.0161;0,00;Conexão com o processo nº (1014615-92.2014.8.26.0161)
12.809.972/0001-00;2017-12-01;1;1001593-51.2015.8.26.0348;0,00;Conexão com o processo nº 1003140-63.2014.8.26.0348
12.809.972/0001-00;2017-12-01;1;1005204-39.2016.8.26.0554;0,00;Conexão com o processo nº 1000288-59.2016.8.26.0554
12.809.972/0001-00;2017-12-01;1;1011228-43.2014.8.26.0008;0,00;Conexão com o processo n.º 1005346-03.2014.8.26.0008
12.809.972/0001-00;2017-12-01;1;1027261-51.2016.8.26.0554;0,00;Conexão com o processo nº 1001311-40.2016.8.26.0554
12.809.972/0001-00;2017-12-01;1;0002152-88.2016.8.26.0348;0,00;Conexão com  o processo nº   1007166-07.2014.8.26.0348
13.551.286/0001-45;2017-12-01;2;0055246-24.2013.8.26.0002;193274.02;Em princípio, sem contingência passiva, na medida em que Fundo/Seus antecessores não está no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado.
13.551.286/0001-45;2017-12-01;2;1050924-67.2015.8.26.0100;100000;Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping busca habilitação de crédito em autos de recuperação judicial. De acordo com o escritório, Impacto: perda de crédito no valor histórico de R$ 645.112,13. Sem indicação de contingência.
13.551.286/0001-45;2017-12-01;2;1012040-69.2015.8.26.0002;450000;Em princípio, sem contingência passiva, na medida em que Fundo/Seus antecessores não está no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado.
13.551.286/0001-45;2017-12-01;2;1077308-38.2013.8.26.0100;193274.02;Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping busca habilitação de crédito em autos de recuperação judicial.
14.365.190/0001-55;2017-12-01;1;52513.2016.811.0107 52645.2016.811.0107 52780.2016.811.0107;300.000,00;Embargos de terceiro opostos pelo Fundo Estrutura II apensos às execuções movidas pela AGROVERDE e pela GO AGRO, alegando que os imóveis da CPR objeto da execução não tem relação com as propriedades do Fundo Estrutura II
14.365.190/0001-55;2017-12-01;1;110310.2015.811.010710492.811.0107109363.2015.811.0107;300.000,00;Medidas cautelares ajuizadas pela AGROVERDE requerendo a sua nomeação como depositária judicial das lavouras de soja
14.879.856/0001-93;2017-12-01;1;0020715-37.2012.8.26.0004;7277.23;Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado.
14.879.856/0001-93;2017-12-01;1;1007589-30.2017.8.26.0002;165459.34;Classe de demanda que, em princípio, tem como consequência a continuidade da locação e a definição do novo valor de aluguel.
14.879.856/0001-93;2017-12-01;1;1010244-72.2017.8.26.0002;44800.69;Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado.
14.879.856/0001-93;2017-12-01;1;0.105744;12259.42;Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado.
14.879.856/0001-93;2017-12-01;1;1007815-35.2017.8.26.0002;208410.84;Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado.
14.879.856/0001-93;2017-12-01;1;0.101604;173878;Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado.
14.879.856/0001-93;2017-12-01;1;1002701-61.2017.8.26.0602;444849.43;Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado.
14.879.856/0001-93;2017-12-01;1;1004350-18.2017.8.26.0002;39894.27;Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado.
14.879.856/0001-93;2017-12-01;1;0.101399;56286;Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado.
14.879.856/0001-93;2017-12-01;1;1065193-80.2016.8.26.0002;87237.84;Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado.
14.879.856/0001-93;2017-12-01;1;1063488-47.2016.8.26.0002;54000;Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado.
14.879.856/0001-93;2017-12-01;1;1062362-59.2016.8.26.0002;71513.76;Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado.
14.879.856/0001-93;2017-12-01;1;10620646720168200000;71399.64;Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado.
14.879.856/0001-93;2017-12-01;1;10620274020168200000;74224.32;Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado.
