CNPJ_Fundo;Data_Referencia;Versao;Nome_Ativo;Valor;Valor_Justo;Percentual_Valorizacao_Desvalorizacao
16.915.840/0001-14;2016-12-01;1;Juiz de Fora;18120000;S;-0.152875175315568
16.915.840/0001-14;2016-12-01;1;Belo Horizonte;26890000;S;0.0768922707248698
16.915.840/0001-14;2016-12-01;1;Belo Horizonte - Tiradentes;15500000;S;0.0258107213765717
16.915.840/0001-14;2016-12-01;1;Pedro I;15460000;S;0.0495587236931432
16.915.840/0001-14;2016-12-01;1;Floriano Peixoto;16610000;S;0.0884665792922674
16.915.868/0001-51;2016-12-01;1;SPE HOLDING FAZENDA BOA VISTA LTDA;125304381;S;0
16.915.968/0001-88;2016-12-01;1;Terras da Estância Empreend. Imobiliários Ltda;4670514.22;S;0.0044
16.915.968/0001-88;2016-12-01;1;Miríade Litoral Construtora Ltda;1416292.32;S;0.0297
16.915.968/0001-88;2016-12-01;1;Campo Verde Empreend. Imobiliário Ltda;12209145.6;S;0.1502
16.915.968/0001-88;2016-12-01;1;Terra Brasilis Participações e Empreend. Ltda;1917552.27;S;0.2007
16.915.968/0001-88;2016-12-01;1;MTO Reluma I Empreend. Imobiliários SPE Ltda;7628921.77;S;0.2053
16.915.968/0001-88;2016-12-01;1;Maxcasa XXVIII Empreend. Imobiliários Ltda;6497365.65;S;0.026
16.915.968/0001-88;2016-12-01;1;Mérito Realty Ltda;99999;S;0
16.915.968/0001-88;2016-12-01;1;Jazigos - Terra Santa Cemitério Parque;5842488.88;S;0.1379
16.924.913/0001-34;2016-12-01;1;I.B.J.S.P.E. Emprendimentos e Participações S.A;77600199;S;0
17.025.970/0001-44;2016-12-01;1;IMOVEL - Hospital São Luiz / Edificações (Itaim Bibi - SP);247945000;S;0
17.098.794/0001-70;2016-12-01;1;AGCX11;5115570;S;0.255102040816326
17.098.794/0001-70;2016-12-01;1;BBPO11;15723572;S;0.278614147246855
17.098.794/0001-70;2016-12-01;1;SAAG11;16459784.49;S;0.376107226107226
17.098.794/0001-70;2016-12-01;1;MXRF11;7880977.51;S;0.0545562130177515
17.098.794/0001-70;2016-12-01;1;RBVO11;4589490;S;0.216081081081081
17.098.794/0001-70;2016-12-01;1;RNDP11;7573500;S;0.111123214849835
17.098.794/0001-70;2016-12-01;1;XPGA11;8738400;S;0.182142857142857
17.098.794/0001-70;2016-12-01;1;VRTA11;8856000;S;0.165876777251185
17.098.794/0001-70;2016-12-01;1;KNCR11;1860946;S;0.0427193385392743
17.098.794/0001-70;2016-12-01;1;KNRI11;6502702.5;S;0.324411628980157
17.098.794/0001-70;2016-12-01;1;BRCR11;5348;S;0.0219368646334939
17.098.794/0001-70;2016-12-01;1;TBOF11;16137175.05;S;0.107329842931937
17.098.794/0001-70;2016-12-01;1;HGRE11;7270000;S;0.0984182776801406
17.098.794/0001-70;2016-12-01;1;FFCI11;3369358.44;S;0.276923076923077
17.098.794/0001-70;2016-12-01;1;FIGS11;2944175;S;0.0237832729563709
17.098.794/0001-70;2016-12-01;1;HGBS11;17750320;S;0.456241032998565
17.143.998/0001-86;2016-12-31;1;GR Louveira;116216000;S;0.0110848363672407
17.144.039/0001-85;2016-12-31;1;Edifício Castello Branco Office Park - Torre Jatobá;103015000;S;-0.022915461296962
17.156.502/0001-09;2016-12-01;1;CRI 12B0016437;2112379.04;N;0
17.156.502/0001-09;2016-12-01;1;CRI 12H0028369;2517324.74;N;0
17.156.502/0001-09;2016-12-01;1;CRI 13A0026630;5511443.95;N;0
17.156.502/0001-09;2016-12-01;1;CRI 13E0008660;523240.93;N;0
17.156.502/0001-09;2016-12-01;1;CRI 13H0072616;8352114.27;N;0
17.156.502/0001-09;2016-12-01;1;CRI 13H0077381;3326006.3;N;0
17.156.502/0001-09;2016-12-01;1;CRI 13I0070394;6790088.91;N;0
17.156.502/0001-09;2016-12-01;1;CRI 14D0082239;6843588.45;N;0
17.156.502/0001-09;2016-12-01;1;CRI 14J0105981;2862796.07;N;0
17.156.502/0001-09;2016-12-01;1;CRI 15D0540147;2484956.53;N;0
17.156.502/0001-09;2016-12-01;1;CRI 15H0105148;19742630.26;N;0
17.156.502/0001-09;2016-12-01;1;CRI 15L0542300;7743126.11;N;0
17.156.502/0001-09;2016-12-01;1;CRI 16B0742429;6617906.43;N;0
17.156.502/0001-09;2016-12-01;1;CRI 16E0124944;7164459.28;N;0
17.156.502/0001-09;2016-12-01;1;CRI 16H0210048;8544560.96;N;0
17.156.502/0001-09;2016-12-01;1;CRI 16J0858697;8216540.09;N;0
17.156.502/0001-09;2016-12-01;1;CRI 16L0139227;4492194.23;N;0
17.156.502/0001-09;2016-12-01;1;FUNDO CIBRASEC FII - SENIOR;48987.06;N;0
17.161.979/0001-82;2016-12-31;1;Edificio Berlioz;53510391.11;S;0.23276
17.161.979/0001-82;2016-12-31;1;Loja 8 Itauna;3490000;S;0.23102
17.161.979/0001-82;2016-12-31;1;Cjs. 501, 502, 601 e 602 - Ed. Prime Savassi;7600000;S;0.34394
17.161.979/0001-82;2016-12-31;1;Cjs. 2300 e 2500 Ed. Renaissance Work Center;17000000;S;0.7
17.198.500/0001-82;2016-12-30;2;FAZENDA MORADA DA PRATA;55395444;S;0.48
17.198.500/0001-82;2016-12-30;2;FAZENDA SÃO PEDRO DO PARÁ;26029418;S;-0.15
17.198.500/0001-82;2016-12-30;2;FAZENDA SÃO ROBERTO II;50299455;S;0.32
17.211.882/0001-37;2016-12-01;1;JHSF Aeroporto (à fração ideal de 1,30%);21025365.72;N;0
17.282.011/0001-04;2016-12-01;1;Edifício Continental Square Faria Lima;38684000;S;0.096485
17.282.011/0001-04;2016-12-01;1;Cotas QSBC;1317636.13;N;0.0863
17.282.011/0001-04;2016-12-01;1;Isabella Plazza;9642000;S;0.149225
