CNPJ_Fundo;Data_Referencia;Versao;Total_Necessidades_Liquidez;Disponibilidades;Titulos_Publicos;Titulos_Privados;Fundos_Renda_Fixa;Total_Investido;Direitos_Bens_Imoveis;Terrenos;Imoveis_Renda_Acabados;Imoveis_Renda_Construcao;Imoveis_Venda_Acabados;Imoveis_Venda_Construcao;Outros_Direitos_Reais;Acoes;Debentures;Bonus_Subscricao;Certificados_Deposito_Valores_Mobiliarios;Cedulas_Debentures;Fundo_Acoes;FIP;FII;FDIC;Outras_Cotas_FI;Notas_Promissorias;Acoes_Sociedades_Atividades_FII;Cotas_Sociedades_Atividades_FII;CEPAC;CRI;Letras_Hipotecarias;LCI;LIG;Outros_Valores_Mobliarios;Valores_Receber;Contas_Receber_Aluguel;Contas_Receber_Venda_Imoveis;Outros_Valores_Receber;Rendimentos_Distribuir;Taxa_Administracao_Pagar;Taxa_Performance_Pagar;Obrigacoes_Aquisicao_Imoveis;Adiantamento_Venda_Imoveis;Adiantamento_Alugueis;Obrigacoes_Securitizacao_Recebiveis;Instrumentos_Financeiros_Derivativos;Provisoes_Contigencias;Outros_Valores_Pagar;Total_Passivo
10.991.914/0001-15;2016-12-01;2;5128672.34;37362.29;5091310.05;;;151000000;151000000;;151000000;;;;;;;;;;;;;;;;;;;;;;;;0;;;;1260014.18;73465.38;;;;;;;;378060.36;1711539.92
11.044.355/0001-07;2016-10-01;1;300089.36;287110.57;0;0;12978.79;195543067.38;195543067.38;0;121854738.22;27856675.95;0;45831653.21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5811540.82;0;5804173.22;7367.6;0;19136.98;0;0;49421251.76;0;0;0;0;3972662.19;53413050.93
11.044.355/0001-07;2016-11-01;1;175970.97;162971.1;0;0;12999.87;196497925;196497925;0;121854738.22;27999741.06;0;46643445.72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5805157.34;0;5801173.22;3984.12;;19136.98;;;49421251.76;;;;;4110569.35;53550958.09
11.044.355/0001-07;2016-12-01;1;99631.11;86517.38;0;0;13113.73;288590997.01;288590997.01;0;225045767.83;16403906.84;0;47141322.34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5801560.9;0;5801173.22;387.68;;19136.98;;;49421251.76;;;;;4269908.09;53710296.83
11.233.841/0001-65;2016-10-01;1;857354.85;45199.2;;;812155.65;159612109.65;159612109.65;35314109.65;116498000;;7800000;;;;;;;;;;;;;;;;;;;;;;6454700.43;3474279.66;;2980420.77;;14184;;;;;;;;58009.79;72193.79
11.233.841/0001-65;2016-11-01;1;1248454.86;359382.74;0;0;889072.12;159612109.65;159612109.65;35314109.65;116498000;0;7800000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6855340.97;5856272.7;0;999068.27;;14184;;;;;;;;376178.6;390362.6
11.233.841/0001-65;2016-12-01;1;1774910.74;986323.81;0;0;788586.93;157779109.64;157779109.64;35814109.64;114165000;0;7800000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7264767.1;4444601.91;0;2820165.19;;14184.06;;;;;;;;930135.91;944319.97
11.268.335/0001-01;2016-12-01;1;63385.76;500;;;62885.76;198299012.02;165329379.83;;165329379.83;;;;;;;;;;;;18820713.92;;;;6850223.07;6333244.31;;965450.89;;;;;53823.41;53472.16;;351.25;32132.1;;5000000;;;;;;;60244.32;5092376.42
11.281.322/0001-72;2016-12-01;1;629708.75;629708.75;;;;125300000;125300000;;125300000;;;;;;;;;;;;;;;;;;;;;;;;365299.5;;;365299.5;1749.27;60875.95;;;;;;;;84968.1;147593.32
11.701.400/0001-40;2016-10-01;1;16462.55;13445.28;;;3017.27;27724045.54;27724045.54;5586000.01;20466415.87;;;1671629.66;;;;;;;;;;;;;;;;;;;;;50405.64;48103.17;;2302.47;387009.32;15628.2;;;;;;;;59345.86;461983.38
11.701.400/0001-40;2016-11-01;1;2213969.21;7278.72;;;2206690.49;27901582.08;27901582.08;5586000.01;20515608.05;;;1799974.02;;;;;;;;;;;;;;;;;;;;;81550.18;78710.79;;2839.39;387009.32;;;;;;;;;59153.21;446162.53
