CNPJ_Fundo;Data_Referencia;Versao;Numero_Cotistas_Faixa_Ate_5;Numero_Cotas_Detidas_Faixa_Ate_5;Percentual_Cotas_Detidas_Faixa_Ate_5;Percentual_Detido_PF_Faixa_Ate_5;Percentual_Detido_PJ_Faixa_Ate_5;Numero_Cotistas_Faixa_5a10;Numero_Cotas_Detidas_Faixa_5a10;Percentual_Cotas_Detidas_Faixa_5a10;Percentual_Detido_PF_Faixa_5a10;Percentual_Detido_PJ_Faixa_5a10;Numero_Cotistas_Faixa_10a15;Numero_Cotas_Detidas_Faixa_10a15;Percentual_Cotas_Detidas_Faixa_10a15;Percentual_Detido_PF_Faixa_10a15;Percentual_Detido_PJ_Faixa_10a15;Numero_Cotistas_Faixa_15a20;Numero_Cotas_Detidas_Faixa_15a20;Percentual_Cotas_Detidas_Faixa_15a20;Percentual_Detido_PF_Faixa_15a20;Percentual_Detido_PJ_Faixa_15a20;Numero_Cotistas_Faixa_20a30;Numero_Cotas_Detidas_Faixa_20a30;Percentual_Cotas_Detidas_Faixa_20a30;Percentual_Detido_PF_Faixa_20a30;Percentual_Detido_PJ_Faixa_20a30;Numero_Cotistas_Faixa_30a40;Numero_Cotas_Detidas_Faixa_30a40;Percentual_Cotas_Detidas_Faixa_30a40;Percentual_Detido_PF_Faixa_30a40;Percentual_Detido_PJ_Faixa_30a40;Numero_Cotistas_Faixa_40a50;Numero_Cotas_Detidas_Faixa_40a50;Percentual_Cotas_Detidas_Faixa_40a50;Percentual_Detido_PF_Faixa_40a50;Percentual_Detido_PJ_Faixa_40a50;Numero_Cotistas_Faixa_Acima_50;Numero_Cotas_Detidas_Faixa_Acima_50;Percentual_Cotas_Detidas_Faixa_Acima_50;Percentual_Detido_PF_Faixa_Acima_50;Percentual_Detido_PJ_Faixa_Acima_50
35.449.574/0001-26;2020-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;14667984.424;1;0;1
35.507.457/0001-71;2020-06-01;1;9428;1440000;1;0.9538875;0.0461125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35.507.610/0001-60;2020-12-01;1;1;39463.535;0.0028;;0.0028;;;;;;1;1757916.6126;0.1252;;0.1252;;;;;;;;;;;;;;;;;;;;;1;12238995.0773;0.8719;;0.8719
35.586.415/0001-73;2020-06-01;1;236;31416;0.0108;0.7489;0.2511;;;;;;1;374548;0.1288;0;1;;;;;;;;;;;;;;;;;;;;;1;2502849;0.8604;0;1
35.652.060/0001-73;2020-06-01;2;54;172018;0.26200688457672;0.0135909464769854;0.248415938099735;3;152883;0.232861668748286;0;0.232861668748286;1;89280;0.135985621591982;0;0.135985621591982;1;107198;0.163277180369818;0;0.163277180369818;1;135161;0.205868644713193;0;0.205868644713193;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35.652.081/0001-99;2020-06-01;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;17500;1;0;1
35.652.154/0001-42;2020-06-01;2;24;6430;0.0912963225898055;0.0912963225898055;0;4;19000;0.269771404231151;0.212977424393014;0.0567939798381372;0;0;0;0;0;0;0;0;0;0;1;20000;0.283969899190686;0.283969899190686;0;1;25000;0.354962373988357;0;0.354962373988357;0;0;0;0;0;0;0;0;0;0
35.689.670/0001-41;2020-12-01;1;44;193299;0.5981;0.5981;0;6;129901;0.4019;0.4019;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35.689.733/0001-60;2020-12-01;1;2048;481757;1;0.887;0.113;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35.704.849/0001-20;2020-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;50000;1;1;0
35.705.463/0001-33;2020-12-01;1;1299;324543;0.1011;0.0606;0.0405;2;478875;0.1491;0;0.1491;0;0;0;0;0;0;0;0;0;0;1;868666;0.2705;0;0.2705;0;0;0;0;0;1;1539201;0.4793;0;0.4793;0;0;0;0;0
35.705.542/0001-44;2020-12-01;1;48;333126.31;0.5492;0.4943;0.0549;5;204034.88;0.3365;0.2679;0.0686;1;69305.33;0.1143;0.1143;;;;;;;;;;;;;;;;;;;;;;;;;;
35.725.659/0001-90;2020-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;27900;1;0;0
35.725.666/0001-91;2020-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3553.5;1;0;0
35.741.868/0001-27;2020-12-01;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;81386367.63;1;0;1
35.754.164/0001-99;2020-12-01;1;6872;4991535;1;0.8;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35.755.044/0001-06;2020-12-01;1;1008;80906;0.801795730680039;0.777515707688346;0.0242800229916952;1;9000;0.0891919211939825;0;0.0891919211939825;1;11000;0.109012348125979;0;0.109012348125979;;;;;;;;;;;;;;;;;;;;;;;;;
35.765.826/0001-26;2020-12-01;1;2801;4824987;1;0.71;0.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35.765.889/0001-82;2020-12-01;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;405000;1;0;1
35.765.907/0001-26;2020-12-01;1;1;705302.4933;0.0474405872265761;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;14161766.7091;0.952559412773424;0;1
35.819.314/0001-03;2020-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;4889000;1;;1
35.820.768/0001-96;2020-12-01;1;;;;;;2;1125;0.147541;0;0;1;1000;0.1311475;0;0;;;;;;;;;;;2;5500;0.7213115;0;0;;;;;;;;;;
35.880.201/0001-05;2020-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;15.987120728;1;;1
36.098.375/0001-83;2020-12-01;1;43;386928;0.5555;0.8067;0.1933;6;309644;0.4445;0.8123;0.1877;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36.368.869/0001-30;2020-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;500000;1;0;1
36.368.925/0001-37;2020-12-01;1;79;178913;0.0715;0.0028;0.0687;4;760193;0.3039;0;0.3039;;;;;;1;422478;0.1689;0;0.1689;;;;;;;;;;;1;1139835;0.4557;0;0.4557;;;;;
36.445.498/0001-43;2020-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;10800;1;0;1
36.445.551/0001-06;2020-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;293000;0.01;0;1
36.501.249/0001-28;2020-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;218813.5116;1;0;1
36.517.660/0001-91;2020-12-01;1;1009;991643;0.949265;0.948786;0.000479;1;53000;0.050735;;0.050735;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36.615.915/0001-59;2020-12-01;1;234;831980;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36.669.660/0001-07;2020-12-01;1;57;713298;0.934495;0.600681;0.333811;1;50000;0.065505;0;0.065505;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36.731.458/0001-68;2020-12-01;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;17830150.99;1;0;1
36.741.215/0001-00;2020-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;29768263;1;;1
36.885.948/0001-19;2020-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1300;1;;1
36.885.989/0001-05;2020-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1300;1;;1
36.969.658/0001-53;2020-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;29768263;1;0;1
37.087.810/0001-37;2020-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2200486;1;0;1
37.112.770/0001-36;2020-12-01;1;1713;766274;0.8228;0.7074;0.2926;1;65000;0.0698;;1;1;100000;0.1074;;1;;;;;;;;;;;;;;;;;;;;;;;;;
37.180.091/0001-02;2020-12-01;1;3619;4003900;1;0.9874;0.012596;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37.262.531/0001-62;2020-12-01;1;67;52395.6006599999;0.913515598527358;0.737970423624027;0.175545174903331;1;4960.39933;0.0864844014726418;0;0.0864844014726418;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37.266.902/0001-84;2020-12-01;1;11;356;0.14983164983165;0;0.14983164983165;1;125;0.0526094276094276;0;0.0526094276094276;1;300;0.126262626262626;0;0.126262626262626;;;;;;;;;;;2;1595;0.671296296296296;0;0.671296296296296;;;;;;;;;;
37.295.919/0001-60;2020-12-01;3;64;1015548;0.3205;0.0811;0.2394;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2153396;0.6795;0;0.6795
37.295.952/0001-90;2020-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;0
37.899.400/0001-90;2020-12-01;1;42;2195;0.3631;0.1588;0.2043;2;900;0.1489;;0.1489;;;;;;;;;;;2;2950;0.488;;0.488;;;;;;;;;;;;;;;
37.899.479/0001-50;2020-12-01;1;1;1500;0.0476;0.0476;0;2;5500;0.1746;0.1746;0;2;7500;0.2381;0.2381;0;0;0;0;0;0;1;7000;0.2222;0;0.2222;1;10000;0.3175;0.3175;0;0;0;0;0;0;0;0;0;0;0
37.931.298/0001-63;2020-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;16000;1;0;1
38.376.805/0001-07;2020-12-01;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;87884;1;0;1
38.456.598/0001-09;2020-12-01;1;2;300;0.076923;0.076924;0;;;;;;;;;;;1;600;0.153846;0.153846;0;;;;;;;;;;;;;;;;1;3000;0.769231;0;0.769231
38.658.984/0001-75;2020-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3924500;1;0;1
39.347.413/0001-82;2020-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;105000;1;;1
39.714.024/0001-48;2020-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;74617;1;;1
97.521.194/0001-02;2020-12-01;1;36;4510.57;0.3833;0.2698;0.1135;3;2745.56;0.2333;0;0.2333;1;1568.89;0.1333;0;0.1334;;;;;;1;2941.67;0.25;0;0.25;;;;;;;;;;;;;;;
97.521.225/0001-25;2020-12-01;1;313725;182487980;1;0.904192308994817;0.0958076910051829;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
