CNPJ_Fundo;Data_Referencia;Versao;Numero_Cotistas_Faixa_Ate_5;Numero_Cotas_Detidas_Faixa_Ate_5;Percentual_Cotas_Detidas_Faixa_Ate_5;Percentual_Detido_PF_Faixa_Ate_5;Percentual_Detido_PJ_Faixa_Ate_5;Numero_Cotistas_Faixa_5a10;Numero_Cotas_Detidas_Faixa_5a10;Percentual_Cotas_Detidas_Faixa_5a10;Percentual_Detido_PF_Faixa_5a10;Percentual_Detido_PJ_Faixa_5a10;Numero_Cotistas_Faixa_10a15;Numero_Cotas_Detidas_Faixa_10a15;Percentual_Cotas_Detidas_Faixa_10a15;Percentual_Detido_PF_Faixa_10a15;Percentual_Detido_PJ_Faixa_10a15;Numero_Cotistas_Faixa_15a20;Numero_Cotas_Detidas_Faixa_15a20;Percentual_Cotas_Detidas_Faixa_15a20;Percentual_Detido_PF_Faixa_15a20;Percentual_Detido_PJ_Faixa_15a20;Numero_Cotistas_Faixa_20a30;Numero_Cotas_Detidas_Faixa_20a30;Percentual_Cotas_Detidas_Faixa_20a30;Percentual_Detido_PF_Faixa_20a30;Percentual_Detido_PJ_Faixa_20a30;Numero_Cotistas_Faixa_30a40;Numero_Cotas_Detidas_Faixa_30a40;Percentual_Cotas_Detidas_Faixa_30a40;Percentual_Detido_PF_Faixa_30a40;Percentual_Detido_PJ_Faixa_30a40;Numero_Cotistas_Faixa_40a50;Numero_Cotas_Detidas_Faixa_40a50;Percentual_Cotas_Detidas_Faixa_40a50;Percentual_Detido_PF_Faixa_40a50;Percentual_Detido_PJ_Faixa_40a50;Numero_Cotistas_Faixa_Acima_50;Numero_Cotas_Detidas_Faixa_Acima_50;Percentual_Cotas_Detidas_Faixa_Acima_50;Percentual_Detido_PF_Faixa_Acima_50;Percentual_Detido_PJ_Faixa_Acima_50
21.500.500/0001-62;2016-12-01;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;993000;1;0;1
21.826.249/0001-20;2016-12-01;1;92;9384;0.5414;0.5162;0.0252;;;;;;;;;;;;;;;;;;;;;;;;;;1;7950;0.4586;;0.4586;;;;;
21.917.235/0001-12;2016-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;126000;1;0;1
22.003.469/0001-17;2016-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;16.4203;1;;1
22.044.621/0001-00;2016-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;7063;1;0;0.5
22.103.617/0001-75;2016-12-01;1;;;;;;;;;;;;;;;;1;17010702;0.2;0;0.2;1;15466700;0.22;0;0.22;;;;;;;;;;;1;44856498;0.58;0;0.58
22.211.522/0001-75;2016-12-01;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;180;1;0;1
22.219.335/0001-38;2016-12-01;1;2;59226;0.0646276430322811;0.0380830166113972;0.0265446264208839;2;38459;0.0419666113426282;0.0419666113426282;0;4;45811;0.049989142521052;0.049989142521052;0;5;47551;0.0518878373320501;0.0518878373320501;0;15;85640;0.0934507032263626;0.0934507032263626;0;28;90470;0.0987212181327537;0.0987212181327537;0;41;91106;0.0994152238222909;0.0994152238222909;0;1715;458156;0.499941620590581;0.497968723913406;0.00197289667717496
22.307.030/0001-88;2016-12-01;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1210;1;;1
22.340.978/0001-35;2016-12-01;1;;;;;;;;;;;;;;;;;;;;;4;71.1;1;0;0;;;;;;;;;;;;;;;
22.459.737/0001-00;2016-12-01;2;6;283635;0.2364;0;0.2364;1;65445;0.0545;0;0.0545;;;;;;;;;;;3;850910;0.7091;0;0.7191;;;;;;;;;;;;;;;
22.621.495/0001-09;2016-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0
22.684.264/0001-44;2016-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;65041.5;1;0;1
22.888.670/0001-29;2016-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;137000;1;0;1
22.957.521/0001-74;2016-12-01;2;;;;;;9;14746875;0.2851;0.0117;0.2734;;;;;;;;;;;;;;;;2;36980625;0.7149;0;0.7149;;;;;;;;;;
23.120.098/0001-16;2016-12-01;1;28;33047.28;0.0151;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2157561.75;0.9849;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23.177.717/0001-09;2016-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;621760.2489869;0.3132;0;1;;;;;;1;1363613.4003294;0.6868;0;1
23.179.381/0001-13;2016-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;88300;1;;1
23.381.427/0001-82;2016-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;80.0054;1;0.5;0.5;;;;;
23.426.470/0001-17;2016-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2033501;1;;1
23.532.837/0001-87;2016-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;72033498.7;1;0;1
23.533.796/0001-43;2016-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;34700362.44;1;0;1
23.537.203/0001-17;2016-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;77250000;1;0;1
23.538.112/0001-04;2016-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;33100000;1;0;1
23.570.871/0001-46;2016-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;179894886.68;1;0;1
23.582.914/0001-03;2016-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;31800000;1;0;1
23.740.552/0001-31;2016-12-01;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;103500;1;0;1
23.740.575/0001-46;2016-12-01;1;2;9878;0.086;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;2;10500;0.914;0;1;;;;;
23.768.027/0001-24;2016-12-01;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;322214000;1;;1
23.768.932/0001-84;2016-12-01;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;125968265;1;;1
23.781.211/0001-04;2016-12-31;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2673860;1;0;1
23.964.908/0001-10;2016-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;539527.7961;1;0;1
24.853.060/0001-15;2016-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;100;1;;1
26.191.053/0001-20;2016-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;10100;1;0;1
26.195.121/0001-20;2016-12-31;1;;;;;;;;;;;;;;;;;;;;;1;5861;0.293;0.293;;2;14140;0.707;0.707;;;;;;;;;;;
26.395.660/0001-02;2016-12-01;1;77;674000;0.8917;0.0397;0.852;1;81850;0.1083;;0.1083;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97.521.194/0001-02;2016-12-30;1;10;4510.57;0.3833;0.6522;0.3478;3;2745.56;0.2333;0;1;1;1568.89;0.1333;0;1;;;;;;1;2941.67;0.25;0;1;;;;;;;;;;;;;;;
97.521.225/0001-25;2016-12-01;1;5585;1872837;0.8144;0.7649;0.0495;;;;;;;;;;;1;426843;0.1856;;1;;;;;;;;;;;;;;;;;;;;
